date,confirmed_total,deaths_total,recovered_total,confirmed_daily,deaths_daily,recovered_daily,confirmed_pm_total,confirmed_pm_daily,deaths_pm_total,deaths_pm_daily
2019-12-31,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-01,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-02,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-03,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-04,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-05,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-06,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-07,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-08,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-09,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-10,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-11,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-12,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-13,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-14,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-15,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-16,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-17,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-18,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-19,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-20,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-21,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-23,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-25,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-29,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-30,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2020-01-31,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-01,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-02,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-03,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-04,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-05,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-06,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-07,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-08,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-09,1,0,0,0,0,0,0.02,0.0,0.0,0.0
2020-02-10,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-11,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-12,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-13,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-14,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-15,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-16,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-17,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-18,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-19,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-20,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-21,2,0,0,2,0,0,0.04,0.04,0.0,0.0
2020-02-22,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-23,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-24,2,0,0,0,0,0,0.04,0.0,0.0,0.0
2020-02-25,3,0,0,1,0,0,0.06,0.02,0.0,0.0
2020-02-26,10,0,0,7,0,0,0.21,0.14,0.0,0.0
2020-02-27,16,0,0,6,0,0,0.34,0.12,0.0,0.0
2020-02-28,32,0,0,16,0,0,0.68,0.34,0.0,0.0
2020-02-29,34,0,0,2,0,0,0.72,0.04,0.0,0.0
2020-03-01,66,0,0,32,0,0,1.4,0.68,0.0,0.0
2020-03-02,114,0,0,48,0,0,2.42,1.02,0.0,0.0
2020-03-03,150,0,0,36,0,0,3.19,0.76,0.0,0.0
2020-03-04,198,1,0,48,1,0,4.21,1.02,0.02,0.02
2020-03-05,237,3,0,39,2,0,5.04,0.83,0.06,0.04
2020-03-06,365,5,0,128,2,0,7.77,2.72,0.1,0.04
2020-03-07,430,5,0,65,0,0,9.16,1.38,0.1,0.0
2020-03-08,589,16,0,159,11,0,12.54,3.38,0.34,0.23
2020-03-09,999,28,25,410,12,25,21.28,8.73,0.59,0.25
2020-03-10,1622,35,140,623,7,115,34.55,13.27,0.74,0.14
2020-03-11,2128,47,188,506,12,48,45.33,10.77,1.0,0.25
2020-03-12,2950,84,201,822,37,13,62.84,17.51,1.78,0.78
2020-03-13,4209,120,200,1259,36,0,89.66,26.82,2.55,0.76
2020-03-14,5753,136,544,1544,16,344,122.56,32.89,2.89,0.34
2020-03-15,7763,288,556,2010,152,12,165.38,42.82,6.13,3.23
2020-03-16,9191,309,575,1428,21,19,195.8,30.42,6.58,0.44
2020-03-17,11178,491,1086,1987,182,511,238.13,42.33,10.46,3.87
2020-03-18,13716,598,1160,2538,107,74,292.2,54.06,12.73,2.27
2020-03-19,17147,767,1210,3431,169,50,365.29,73.09,16.34,3.6
2020-03-20,19980,1002,1542,2833,235,332,425.64,60.35,21.34,5.0
2020-03-21,24926,1326,2131,4946,324,589,531.01,105.36,28.24,6.9
2020-03-22,28572,1720,2672,3646,394,541,608.69,77.67,36.64,8.39
2020-03-23,33089,2182,3140,4517,462,468,704.92,96.22,46.48,9.84
2020-03-24,39673,2696,3697,6584,514,557,845.18,140.26,57.43,10.95
2020-03-25,47610,3434,5054,7937,738,1357,1014.27,169.08,73.15,15.72
2020-03-26,56188,4089,6326,8578,655,1272,1197.01,182.74,87.11,13.95
2020-03-27,64059,4858,8491,7871,769,2165,1364.69,167.68,103.49,16.38
2020-03-28,72248,5690,10896,8189,832,2405,1539.15,174.45,121.21,17.72
2020-03-29,78797,6528,13219,6549,838,2323,1678.67,139.51,139.07,17.85
2020-03-30,85195,7340,14823,6398,812,1604,1814.97,136.3,156.36,17.29
2020-03-31,94417,8189,16926,9222,849,2103,2011.44,196.46,174.45,18.08
2020-04-01,102135,9053,20023,7718,864,3097,2175.86,164.42,192.86,18.4
2020-04-02,110238,10003,23509,8103,950,3486,2348.48,172.62,213.1,20.23
2020-04-03,117710,10935,26540,7472,932,3031,2507.66,159.18,232.95,19.85
2020-04-04,124736,11744,30173,7026,809,3633,2657.34,149.68,250.19,17.23
2020-04-05,130759,12418,33701,6023,674,3528,2785.66,128.31,264.55,14.35
2020-04-06,135032,13055,35723,4273,637,2022,2876.69,91.03,278.12,13.57
2020-04-07,140510,13798,38620,5478,743,2897,2993.39,116.7,293.94,15.82
2020-04-08,146690,14555,43091,6180,757,4471,3125.05,131.65,310.07,16.12
2020-04-09,152446,15238,47116,5756,683,4025,3247.67,122.62,324.62,14.55
2020-04-10,157022,15843,50860,4576,605,3744,3345.16,97.48,337.51,12.88
2020-04-11,161852,16353,54118,4830,510,3258,3448.06,102.89,348.38,10.86
2020-04-12,166019,16972,57026,4167,619,2908,3536.83,88.77,361.56,13.18
2020-04-13,169496,17489,59165,3477,517,2139,3610.9,74.07,372.58,11.01
2020-04-14,172541,18056,61924,3045,567,2759,3675.77,64.87,384.66,12.07
2020-04-15,177633,18579,65682,5092,523,3758,3784.25,108.47,395.8,11.14
2020-04-16,182816,19130,69461,5183,551,3779,3894.67,110.41,407.54,11.73
2020-04-17,188068,19478,72952,5252,348,3491,4006.56,111.88,414.95,7.41
2020-04-18,191726,20043,76169,3658,565,3217,4084.49,77.92,426.99,12.03
2020-04-19,195944,20453,78893,4218,410,2724,4174.35,89.85,435.72,8.73
2020-04-20,200210,20852,80587,4266,399,1694,4265.23,90.88,444.22,8.5
2020-04-21,204178,21282,82514,3968,430,1927,4349.76,84.53,453.38,9.16
2020-04-22,208389,21717,85915,4211,435,3401,4439.47,89.71,462.65,9.26
2020-04-23,213024,22157,89250,4635,440,3335,4538.21,98.74,472.02,9.37
2020-04-24,219764,22524,92355,6740,367,3105,4681.8,143.58,479.84,7.81
2020-04-25,223759,22902,95708,3995,378,3353,4766.91,85.1,487.89,8.05
2020-04-26,226640,23190,98732,2881,288,3024,4828.29,61.37,494.03,6.13
2020-04-27,229435,23521,100875,2795,331,2143,4887.83,59.54,501.08,7.05
2020-04-28,232150,23822,102548,2715,301,1673,4945.67,57.83,507.49,6.41
2020-04-29,236899,24275,108947,4749,453,6399,5046.84,101.17,517.14,9.65
2020-04-30,239369,24543,112050,2470,268,3103,5099.46,52.62,522.85,5.7
2020-05-01,242988,24824,114678,3619,281,2628,5176.56,77.09,528.84,5.98
2020-05-02,245567,25100,117248,2579,276,2570,5231.5,54.94,534.72,5.87
2020-05-03,247122,25264,118902,1555,164,1654,5264.63,33.12,538.21,3.49
2020-05-04,248301,25428,121343,1179,164,2441,5289.75,25.11,541.71,3.49
2020-05-05,250561,25613,123486,2260,185,2143,5337.89,48.14,545.65,3.94
2020-05-06,253682,25857,126002,3121,244,2516,5404.38,66.48,550.85,5.19
2020-05-07,256855,26070,128511,3173,213,2509,5471.98,67.59,555.38,4.53
2020-05-08,260117,26299,131148,3262,229,2637,5541.48,69.49,560.27,4.88
2020-05-09,262783,26478,133952,2666,179,2804,5598.27,56.8,564.08,3.81
2020-05-10,264670,26621,136166,1887,143,2214,5638.47,40.2,567.13,3.05
2020-05-11,268143,26744,137139,3473,123,973,5712.46,73.99,569.75,2.62
2020-05-12,269520,26920,138980,1377,176,1841,5741.8,29.34,573.5,3.75
2020-05-13,271095,27104,140823,1575,184,1843,5775.35,33.55,577.42,3.92
2020-05-14,272646,27321,143374,1551,217,2551,5808.39,33.04,582.04,4.62
2020-05-15,274367,27459,144783,1721,138,1409,5845.06,36.66,584.98,2.94
2020-05-16,276505,27563,144446,2138,104,-337,5890.61,45.55,587.2,2.22
2020-05-17,277719,27650,149576,1214,87,5130,5916.47,25.86,589.05,1.85
2020-05-18,278188,27709,149576,469,59,0,5926.46,9.99,590.31,1.26
2020-05-19,278803,27778,149576,615,69,0,5939.56,13.1,591.78,1.47
2020-05-20,279524,27888,149576,721,110,0,5954.92,15.36,594.12,2.34
